secs,height
1,433
2,434
3,484
4,530
5,532
6,572
7,597
8,585
9,615
10,634
11,649
12,669
13,710
14,765
15,718
16,746
17,781
18,817
19,843
20,963
21,979
22,1012
23,1079
24,1116
25,1144
26,1177
27,1251
28,1271
29,1278
30,1271
31,1283
32,1289
33,1283
34,1291
35,1299
36,1301
37,1303
38,1306
39,1308
40,1310
41,1311
