cropped_F8A3351.JPG,cropped_F8A3626.JPG,cropped_F8A3736.JPG,cropped_F8A3801.JPG,cropped_F8A3906.JPG,cropped_F8A3966.JPG,cropped_F8A3996.JPG,cropped_F8A4011.JPG,cropped_F8A4046.JPG,cropped_F8A4171.JPG,cropped_F8A4431.JPG,cropped_F8A4446.JPG,cropped_F8A4451.JPG,cropped_F8A4511.JPG,cropped_F8A4541.JPG,cropped_F8A4561.JPG,cropped_F8A4666.JPG,cropped_F8A4791.JPG,cropped_F8A4826.JPG,cropped_F8A4876.JPG,cropped_F8A4991.JPG,cropped_F8A5021.JPG,cropped_F8A5111.JPG,cropped_F8A5266.JPG,cropped_F8A5276.JPG,cropped_F8A5391.JPG,cropped_F8A5396.JPG,cropped_F8A5411.JPG,cropped_F8A5466.JPG,cropped_F8A5556.JPG,cropped_F8A5736.JPG,cropped_F8A5806.JPG,cropped_F8A5876.JPG,cropped_F8A5906.JPG,cropped_F8A6036.JPG,cropped_F8A6301.JPG,cropped_F8A6346.JPG,cropped_F8A6376.JPG,cropped_F8A6431.JPG,cropped_F8A6506.JPG,cropped_F8A6516.JPG,cropped_F8A6601.JPG,cropped_F8A6921.JPG,cropped_F8A6976.JPG,cropped_F8A7181.JPG,cropped_F8A7216.JPG,cropped_F8A7251.JPG,cropped_F8A7376.JPG,cropped_F8A7456.JPG,cropped_F8A7656.JPG,cropped_F8A7781.JPG,cropped_F8A7831.JPG,cropped_F8A8451.JPG,cropped_F8A8496.JPG,cropped_F8A8531.JPG,cropped_F8A8541.JPG,cropped_F8A8891.JPG,cropped_F8A9296.JPG,cropped_F8A9301.JPG,cropped_F8A9441.JPG,cropped_F8A9446.JPG,cropped_F8A9481.JPG,cropped_F8A9516.JPG,cropped_F8A9651.JPG,cropped_F8A9666.JPG
,85.0,23.0,22,41.0,64.0,50,29,60.0,26.0,50.0,53.0,16.0,27.0,21.0,93.0,,41.0,17.0,17.0,15.0,22.0,17.0,35.0,38,29.0,50,31.0,52.0,31.0,19.0,33.0,21.0,256.0,21.0,24.0,46.0,,,15.0,46,28.0,,15.0,,43.0,18.0,16.0,26.0,22.0,14.0,74.0,31.0,23.0,50.0,,19.0,46.0,32.0,28.0,49.0,32.0,33.0,27,22.0
,18.0,27.0,33,54.0,37.0,50,34,42.0,36.0,30.0,29.0,25.0,31.0,12.0,37.0,,19.0,20.0,16.0,14.0,19.0,21.0,37.0,37,22.0,30,49.0,40.0,17.0,21.0,75.0,15.0,21.0,57.0,32.0,30.0,,,17.0,45,14.0,,18.0,,28.0,13.0,17.0,38.0,15.0,25.0,12.0,41.0,60.0,24.0,,18.0,24.0,15.0,58.0,33.0,49.0,20.0,28,53.0
,16.0,28.0,25,43.0,24.0,30,36,28.0,57.0,54.0,49.0,18.0,88.0,14.0,28.0,,40.0,13.0,13.0,19.0,28.0,14.0,38.0,32,17.0,33,41.0,81.0,,25.0,93.0,18.0,33.0,88.0,40.0,75.0,,,15.0,30,19.0,,18.0,,39.0,16.0,22.0,32.0,17.0,16.0,14.0,16.0,20.0,33.0,,20.0,16.0,,45.0,31.0,46.0,15.0,20,24.0
,19.0,24.0,47,53.0,36.0,45,48,32.0,75.0,23.0,35.0,32.0,23.0,,212.0,,19.0,12.0,,15.0,23.0,25.0,100.0,47,18.0,20,33.0,56.0,,18.0,34.0,16.0,31.0,49.0,18.0,49.0,,,15.0,35,51.0,,20.0,,28.0,13.0,15.0,47.0,20.0,18.0,14.0,19.0,18.0,89.0,,20.0,19.0,,88.0,46.0,45.0,30.0,32,22.0
,24.0,18.0,29,41.0,97.0,61,28,176.0,31.0,22.0,88.0,,45.0,,28.0,,26.0,14.0,,16.0,19.0,13.0,132.0,56,19.0,27,87.0,24.0,,21.0,34.0,20.0,21.0,23.0,14.0,29.0,,,44.0,52,21.0,,75.0,,47.0,15.0,18.0,70.0,23.0,13.0,,73.0,19.0,27.0,,17.0,22.0,,66.0,76.0,51.0,15.0,34,23.0
,21.0,17.0,75,37.0,48.0,51,40,24.0,31.0,52.0,65.0,,40.0,,93.0,,22.0,19.0,,15.0,21.0,16.0,39.0,30,48.0,41,25.0,41.0,,19.0,36.0,12.0,19.0,25.0,16.0,62.0,,,20.0,28,28.0,,51.0,,23.0,26.0,38.0,70.0,16.0,,,35.0,20.0,43.0,,19.0,14.0,,36.0,38.0,23.0,13.0,76,19.0
,16.0,16.0,25,69.0,95.0,89,28,72.0,45.0,43.0,32.0,,21.0,,132.0,,34.0,16.0,,22.0,20.0,17.0,27.0,51,23.0,47,90.0,42.0,,27.0,26.0,12.0,131.0,34.0,18.0,39.0,,,14.0,39,16.0,,25.0,,34.0,14.0,48.0,43.0,17.0,,,17.0,25.0,75.0,,40.0,16.0,,42.0,28.0,50.0,14.0,46,20.0
,55.0,22.0,27,71.0,30.0,51,46,88.0,41.0,40.0,95.0,,52.0,,32.0,,52.0,13.0,,,33.0,18.0,34.0,29,13.0,32,41.0,54.0,,28.0,59.0,16.0,24.0,33.0,,70.0,,,15.0,42,30.0,,18.0,,40.0,,25.0,29.0,17.0,,,20.0,68.0,44.0,,18.0,24.0,,23.0,33.0,32.0,34.0,116,20.0
,21.0,19.0,48,80.0,32.0,38,64,31.0,74.0,59.0,43.0,,55.0,,35.0,,34.0,19.0,,,22.0,15.0,57.0,27,30.0,47,63.0,29.0,,18.0,37.0,17.0,22.0,23.0,,48.0,,,19.0,45,21.0,,12.0,,51.0,,47.0,23.0,19.0,,,,21.0,58.0,,25.0,13.0,,34.0,31.0,46.0,136.0,27,36.0
,17.0,19.0,24,42.0,58.0,29,45,24.0,18.0,30.0,40.0,,48.0,,35.0,,18.0,18.0,,,21.0,18.0,53.0,32,18.0,46,62.0,112.0,,16.0,24.0,15.0,19.0,133.0,,48.0,,,13.0,21,32.0,,14.0,,52.0,,32.0,22.0,15.0,,,,40.0,28.0,,28.0,13.0,,27.0,38.0,45.0,40.0,50,20.0
,16.0,21.0,26,35.0,80.0,40,36,31.0,29.0,39.0,30.0,,33.0,,65.0,,17.0,29.0,,,37.0,23.0,39.0,61,14.0,127,39.0,26.0,,21.0,30.0,,30.0,33.0,,25.0,,,15.0,40,15.0,,,,24.0,,,75.0,23.0,,,,28.0,37.0,,21.0,15.0,,33.0,40.0,97.0,,66,19.0
,16.0,19.0,32,45.0,23.0,27,66,148.0,20.0,34.0,87.0,,34.0,,35.0,,29.0,,,,24.0,,63.0,32,15.0,44,57.0,25.0,,17.0,97.0,,56.0,49.0,,34.0,,,15.0,34,14.0,,,,25.0,,,57.0,13.0,,,,17.0,57.0,,28.0,,,26.0,34.0,29.0,,54,29.0
,18.0,17.0,45,31.0,32.0,34,39,38.0,39.0,23.0,46.0,,30.0,,25.0,,24.0,,,,23.0,,47.0,36,14.0,38,92.0,26.0,,18.0,40.0,,14.0,72.0,,26.0,,,,44,38.0,,,,45.0,,,34.0,14.0,,,,27.0,104.0,,16.0,,,25.0,59.0,53.0,,33,26.0
,75.0,12.0,26,34.0,101.0,42,34,24.0,30.0,36.0,26.0,,24.0,,41.0,,15.0,,,,15.0,,79.0,60,17.0,30,54.0,32.0,,17.0,45.0,,16.0,43.0,,53.0,,,,42,18.0,,,,54.0,,,29.0,15.0,,,,39.0,79.0,,19.0,,,28.0,36.0,50.0,,45,16.0
,,16.0,46,64.0,53.0,45,44,25.0,60.0,30.0,41.0,,33.0,,37.0,,18.0,,,,42.0,,46.0,29,,41,109.0,18.0,,19.0,30.0,,17.0,24.0,,24.0,,,,21,17.0,,,,58.0,,,104.0,17.0,,,,21.0,74.0,,21.0,,,65.0,21.0,19.0,,30,17.0
,,13.0,41,41.0,37.0,35,47,58.0,22.0,65.0,47.0,,23.0,,201.0,,19.0,,,,21.0,,318.0,56,,32,31.0,28.0,,17.0,28.0,,20.0,25.0,,58.0,,,,50,16.0,,,,38.0,,,25.0,22.0,,,,22.0,50.0,,16.0,,,33.0,103.0,21.0,,34,21.0
,,14.0,54,27.0,69.0,57,27,26.0,31.0,21.0,29.0,,35.0,,227.0,,29.0,,,,18.0,,104.0,47,,22,43.0,26.0,,27.0,47.0,,25.0,26.0,,43.0,,,,44,14.0,,,,24.0,,,51.0,15.0,,,,13.0,48.0,,16.0,,,35.0,139.0,98.0,,26,30.0
,,73.0,37,34.0,37.0,35,31,26.0,26.0,60.0,77.0,,19.0,,34.0,,23.0,,,,18.0,,21.0,19,,38,29.0,21.0,,18.0,98.0,,17.0,30.0,,27.0,,,,38,17.0,,,,70.0,,,25.0,,,,,17.0,119.0,,18.0,,,33.0,49.0,54.0,,84,16.0
,,15.0,57,31.0,34.0,30,83,24.0,35.0,30.0,37.0,,38.0,,37.0,,19.0,,,,50.0,,30.0,23,,55,49.0,37.0,,14.0,75.0,,144.0,54.0,,79.0,,,,51,18.0,,,,40.0,,,31.0,,,,,79.0,38.0,,29.0,,,33.0,151.0,71.0,,27,19.0
,,89.0,31,23.0,25.0,64,39,27.0,52.0,38.0,65.0,,73.0,,90.0,,20.0,,,,14.0,,25.0,29,,41,51.0,31.0,,23.0,64.0,,28.0,49.0,,43.0,,,,29,13.0,,,,29.0,,,105.0,,,,,111.0,52.0,,33.0,,,26.0,37.0,27.0,,34,19.0
,,25.0,26,31.0,38.0,33,33,21.0,22.0,21.0,57.0,,23.0,,43.0,,13.0,,,,31.0,,55.0,35,,37,40.0,36.0,,17.0,35.0,,15.0,36.0,,44.0,,,,32,15.0,,,,45.0,,,77.0,,,,,23.0,23.0,,65.0,,,29.0,23.0,22.0,,36,17.0
,,15.0,28,40.0,61.0,32,43,32.0,47.0,38.0,51.0,,23.0,,42.0,,22.0,,,,23.0,,23.0,31,,82,38.0,21.0,,29.0,21.0,,17.0,27.0,,39.0,,,,37,17.0,,,,49.0,,,36.0,,,,,16.0,59.0,,18.0,,,30.0,53.0,20.0,,31,18.0
,,12.0,25,38.0,39.0,36,33,30.0,29.0,23.0,32.0,,232.0,,56.0,,19.0,,,,12.0,,74.0,45,,64,28.0,22.0,,21.0,68.0,,30.0,24.0,,60.0,,,,43,,,,,113.0,,,43.0,,,,,43.0,39.0,,15.0,,,26.0,20.0,36.0,,40,52.0
,,113.0,47,38.0,22.0,59,140,36.0,25.0,24.0,21.0,,21.0,,19.0,,18.0,,,,19.0,,26.0,29,,42,32.0,24.0,,24.0,26.0,,,19.0,,36.0,,,,30,,,,,38.0,,,24.0,,,,,61.0,30.0,,12.0,,,59.0,31.0,68.0,,36,37.0
,,,64,48.0,30.0,30,72,27.0,18.0,47.0,25.0,,63.0,,41.0,,17.0,,,,14.0,,44.0,32,,40,41.0,27.0,,35.0,71.0,,,21.0,,104.0,,,,54,,,,,63.0,,,19.0,,,,,18.0,41.0,,37.0,,,20.0,36.0,48.0,,28,38.0
,,,41,38.0,101.0,30,58,40.0,49.0,38.0,42.0,,23.0,,270.0,,64.0,,,,14.0,,33.0,29,,30,35.0,22.0,,19.0,58.0,,,18.0,,54.0,,,,48,,,,,102.0,,,30.0,,,,,11.0,41.0,,,,,68.0,64.0,43.0,,24,20.0
,,,76,30.0,32.0,28,27,33.0,30.0,41.0,52.0,,28.0,,56.0,,19.0,,,,16.0,,23.0,26,,24,26.0,20.0,,13.0,29.0,,,19.0,,45.0,,,,44,,,,,64.0,,,42.0,,,,,22.0,79.0,,,,,26.0,38.0,58.0,,29,35.0
,,,24,36.0,73.0,47,33,27.0,34.0,41.0,37.0,,40.0,,29.0,,16.0,,,,18.0,,153.0,24,,42,46.0,30.0,,13.0,26.0,,,17.0,,23.0,,,,35,,,,,102.0,,,44.0,,,,,42.0,27.0,,,,,75.0,58.0,132.0,,21,24.0
,,,34,46.0,36.0,38,34,26.0,29.0,23.0,55.0,,102.0,,44.0,,17.0,,,,14.0,,21.0,29,,36,29.0,61.0,,18.0,40.0,,,19.0,,36.0,,,,45,,,,,46.0,,,29.0,,,,,21.0,103.0,,,,,21.0,28.0,61.0,,25,17.0
,,,31,77.0,43.0,20,43,22.0,20.0,67.0,42.0,,28.0,,22.0,,25.0,,,,14.0,,71.0,27,,46,32.0,21.0,,22.0,39.0,,,16.0,,26.0,,,,53,,,,,46.0,,,60.0,,,,,19.0,52.0,,,,,21.0,106.0,78.0,,42,16.0
,,,20,35.0,38.0,53,33,37.0,26.0,30.0,28.0,,20.0,,37.0,,,,,,,,20.0,25,,132,32.0,24.0,,15.0,37.0,,,35.0,,79.0,,,,26,,,,,26.0,,,56.0,,,,,19.0,24.0,,,,,49.0,40.0,62.0,,41,40.0
,,,33,33.0,33.0,30,66,27.0,33.0,30.0,25.0,,265.0,,37.0,,,,,,,,21.0,56,,44,29.0,24.0,,45.0,38.0,,,17.0,,51.0,,,,26,,,,,38.0,,,83.0,,,,,24.0,28.0,,,,,21.0,23.0,32.0,,36,17.0
,,,33,56.0,55.0,22,23,23.0,27.0,59.0,39.0,,24.0,,55.0,,,,,,,,39.0,51,,61,57.0,38.0,,12.0,39.0,,,21.0,,100.0,,,,50,,,,,50.0,,,23.0,,,,,20.0,43.0,,,,,31.0,33.0,22.0,,20,19.0
,,,25,28.0,36.0,21,74,41.0,73.0,29.0,44.0,,99.0,,27.0,,,,,,,,22.0,35,,23,65.0,69.0,,13.0,31.0,,,24.0,,30.0,,,,31,,,,,158.0,,,33.0,,,,,24.0,48.0,,,,,21.0,122.0,33.0,,27,19.0
,,,37,29.0,50.0,36,44,31.0,23.0,40.0,19.0,,40.0,,34.0,,,,,,,,20.0,62,,33,32.0,46.0,,12.0,89.0,,,119.0,,31.0,,,,31,,,,,22.0,,,62.0,,,,,18.0,36.0,,,,,33.0,26.0,39.0,,58,17.0
,,,26,28.0,34.0,31,36,19.0,25.0,39.0,43.0,,28.0,,105.0,,,,,,,,35.0,40,,96,60.0,21.0,,14.0,40.0,,,55.0,,49.0,,,,35,,,,,96.0,,,107.0,,,,,18.0,47.0,,,,,64.0,36.0,73.0,,31,28.0
,,,23,30.0,32.0,78,19,21.0,22.0,21.0,30.0,,21.0,,19.0,,,,,,,,17.0,25,,31,139.0,21.0,,13.0,23.0,,,52.0,,31.0,,,,21,,,,,50.0,,,19.0,,,,,16.0,142.0,,,,,27.0,26.0,47.0,,35,32.0
,,,31,62.0,44.0,52,33,22.0,26.0,20.0,19.0,,25.0,,38.0,,,,,,,,43.0,93,,36,20.0,46.0,,17.0,87.0,,,17.0,,26.0,,,,50,,,,,39.0,,,49.0,,,,,,83.0,,,,,24.0,43.0,65.0,,27,13.0
,,,27,54.0,30.0,46,28,69.0,49.0,29.0,47.0,,18.0,,47.0,,,,,,,,19.0,26,,42,28.0,21.0,,,29.0,,,29.0,,55.0,,,,37,,,,,54.0,,,136.0,,,,,,50.0,,,,,79.0,22.0,51.0,,30,20.0
,,,19,26.0,43.0,45,40,20.0,27.0,26.0,31.0,,18.0,,155.0,,,,,,,,28.0,22,,28,40.0,46.0,,,21.0,,,59.0,,54.0,,,,29,,,,,28.0,,,24.0,,,,,,36.0,,,,,39.0,60.0,27.0,,24,12.0
,,,17,70.0,50.0,39,52,87.0,19.0,20.0,21.0,,20.0,,19.0,,,,,,,,21.0,44,,25,83.0,44.0,,,22.0,,,57.0,,32.0,,,,32,,,,,44.0,,,22.0,,,,,,132.0,,,,,20.0,36.0,27.0,,36,61.0
,,,59,29.0,90.0,25,40,63.0,26.0,24.0,28.0,,18.0,,45.0,,,,,,,,20.0,36,,38,28.0,70.0,,,51.0,,,21.0,,36.0,,,,44,,,,,21.0,,,29.0,,,,,,67.0,,,,,33.0,47.0,44.0,,37,31.0
,,,27,28.0,25.0,26,22,39.0,42.0,44.0,27.0,,34.0,,20.0,,,,,,,,27.0,58,,26,30.0,24.0,,,69.0,,,24.0,,17.0,,,,23,,,,,27.0,,,23.0,,,,,,36.0,,,,,24.0,25.0,47.0,,24,
,,,33,44.0,52.0,49,29,19.0,29.0,32.0,20.0,,21.0,,21.0,,,,,,,,62.0,33,,23,33.0,28.0,,,57.0,,,65.0,,18.0,,,,40,,,,,35.0,,,58.0,,,,,,76.0,,,,,21.0,38.0,18.0,,21,
,,,60,29.0,35.0,23,42,81.0,48.0,31.0,32.0,,16.0,,28.0,,,,,,,,24.0,36,,39,48.0,22.0,,,24.0,,,43.0,,27.0,,,,27,,,,,54.0,,,51.0,,,,,,53.0,,,,,30.0,20.0,22.0,,23,
,,,29,103.0,57.0,26,40,17.0,37.0,25.0,30.0,,22.0,,23.0,,,,,,,,19.0,27,,36,85.0,185.0,,,54.0,,,32.0,,35.0,,,,43,,,,,61.0,,,82.0,,,,,,48.0,,,,,47.0,22.0,18.0,,25,
,,,32,38.0,43.0,31,34,22.0,46.0,44.0,42.0,,97.0,,66.0,,,,,,,,30.0,36,,77,45.0,22.0,,,21.0,,,25.0,,119.0,,,,26,,,,,42.0,,,33.0,,,,,,18.0,,,,,40.0,22.0,46.0,,23,
,,,21,24.0,21.0,26,28,21.0,36.0,47.0,21.0,,,,50.0,,,,,,,,41.0,54,,39,32.0,22.0,,,32.0,,,15.0,,51.0,,,,34,,,,,58.0,,,24.0,,,,,,36.0,,,,,24.0,32.0,29.0,,23,
,,,27,70.0,46.0,26,39,27.0,54.0,32.0,23.0,,,,20.0,,,,,,,,32.0,45,,32,32.0,23.0,,,35.0,,,20.0,,68.0,,,,37,,,,,35.0,,,117.0,,,,,,38.0,,,,,31.0,39.0,34.0,,22,
,,,31,84.0,60.0,38,33,39.0,39.0,30.0,31.0,,,,22.0,,,,,,,,182.0,57,,24,43.0,19.0,,,52.0,,,20.0,,97.0,,,,23,,,,,29.0,,,26.0,,,,,,56.0,,,,,58.0,24.0,28.0,,36,
,,,22,22.0,116.0,27,130,131.0,30.0,19.0,33.0,,,,164.0,,,,,,,,18.0,22,,50,116.0,23.0,,,66.0,,,21.0,,65.0,,,,48,,,,,27.0,,,105.0,,,,,,44.0,,,,,30.0,20.0,45.0,,52,
,,,23,28.0,28.0,32,23,227.0,21.0,25.0,27.0,,,,16.0,,,,,,,,22.0,43,,65,131.0,14.0,,,28.0,,,24.0,,20.0,,,,35,,,,,50.0,,,60.0,,,,,,42.0,,,,,22.0,20.0,21.0,,21,
,,,19,29.0,14.0,39,41,64.0,23.0,23.0,35.0,,,,49.0,,,,,,,,29.0,20,,38,30.0,88.0,,,27.0,,,43.0,,25.0,,,,37,,,,,25.0,,,37.0,,,,,,23.0,,,,,17.0,31.0,22.0,,20,
,,,51,64.0,43.0,64,22,26.0,29.0,24.0,72.0,,,,29.0,,,,,,,,112.0,26,,32,36.0,39.0,,,17.0,,,21.0,,39.0,,,,35,,,,,22.0,,,28.0,,,,,,55.0,,,,,25.0,19.0,32.0,,27,
,,,44,39.0,45.0,28,42,232.0,39.0,21.0,32.0,,,,48.0,,,,,,,,18.0,30,,31,27.0,17.0,,,63.0,,,36.0,,26.0,,,,44,,,,,19.0,,,29.0,,,,,,29.0,,,,,17.0,18.0,24.0,,41,
,,,23,43.0,68.0,61,31,31.0,25.0,24.0,25.0,,,,17.0,,,,,,,,27.0,24,,30,23.0,24.0,,,46.0,,,41.0,,41.0,,,,41,,,,,85.0,,,29.0,,,,,,29.0,,,,,32.0,20.0,35.0,,54,
,,,27,61.0,26.0,20,107,24.0,26.0,24.0,21.0,,,,16.0,,,,,,,,56.0,22,,49,26.0,18.0,,,24.0,,,38.0,,47.0,,,,34,,,,,29.0,,,61.0,,,,,,104.0,,,,,18.0,55.0,40.0,,42,
,,,38,40.0,75.0,28,97,18.0,62.0,50.0,24.0,,,,20.0,,,,,,,,18.0,44,,52,20.0,25.0,,,20.0,,,26.0,,27.0,,,,34,,,,,32.0,,,22.0,,,,,,46.0,,,,,20.0,35.0,48.0,,22,
,,,26,54.0,38.0,53,23,17.0,25.0,33.0,23.0,,,,15.0,,,,,,,,87.0,18,,80,32.0,16.0,,,104.0,,,15.0,,97.0,,,,37,,,,,32.0,,,18.0,,,,,,51.0,,,,,46.0,19.0,37.0,,37,
,,,24,24.0,41.0,49,28,23.0,40.0,37.0,53.0,,,,98.0,,,,,,,,19.0,23,,20,25.0,12.0,,,20.0,,,13.0,,24.0,,,,20,,,,,44.0,,,61.0,,,,,,74.0,,,,,18.0,39.0,20.0,,48,
,,,30,24.0,25.0,25,39,64.0,32.0,30.0,50.0,,,,23.0,,,,,,,,249.0,39,,50,44.0,26.0,,,21.0,,,14.0,,68.0,,,,32,,,,,39.0,,,30.0,,,,,,61.0,,,,,27.0,121.0,32.0,,24,
,,,23,36.0,59.0,58,33,17.0,25.0,48.0,25.0,,,,25.0,,,,,,,,19.0,35,,36,54.0,12.0,,,27.0,,,79.0,,60.0,,,,21,,,,,93.0,,,67.0,,,,,,26.0,,,,,25.0,78.0,137.0,,70,
,,,29,92.0,17.0,29,21,32.0,21.0,24.0,22.0,,,,18.0,,,,,,,,31.0,30,,19,26.0,77.0,,,69.0,,,23.0,,26.0,,,,20,,,,,20.0,,,28.0,,,,,,48.0,,,,,22.0,22.0,58.0,,23,
,,,52,24.0,65.0,26,42,24.0,23.0,17.0,43.0,,,,55.0,,,,,,,,14.0,24,,21,26.0,78.0,,,54.0,,,42.0,,23.0,,,,32,,,,,44.0,,,37.0,,,,,,32.0,,,,,51.0,19.0,18.0,,43,
,,,21,24.0,55.0,28,42,129.0,27.0,66.0,35.0,,,,33.0,,,,,,,,113.0,42,,18,19.0,37.0,,,47.0,,,30.0,,33.0,,,,29,,,,,111.0,,,97.0,,,,,,32.0,,,,,40.0,100.0,68.0,,32,
,,,30,17.0,21.0,36,24,23.0,105.0,28.0,66.0,,,,20.0,,,,,,,,37.0,30,,23,24.0,46.0,,,53.0,,,42.0,,46.0,,,,60,,,,,17.0,,,16.0,,,,,,32.0,,,,,32.0,60.0,62.0,,19,
,,,25,18.0,36.0,22,21,36.0,108.0,24.0,40.0,,,,67.0,,,,,,,,,41,,28,37.0,80.0,,,20.0,,,18.0,,68.0,,,,34,,,,,70.0,,,96.0,,,,,,40.0,,,,,54.0,20.0,21.0,,33,
,,,28,63.0,27.0,37,46,73.0,31.0,19.0,18.0,,,,25.0,,,,,,,,,20,,90,21.0,13.0,,,27.0,,,16.0,,33.0,,,,28,,,,,35.0,,,28.0,,,,,,35.0,,,,,16.0,22.0,56.0,,18,
,,,24,28.0,89.0,27,49,27.0,26.0,29.0,24.0,,,,40.0,,,,,,,,,44,,26,61.0,31.0,,,36.0,,,40.0,,19.0,,,,26,,,,,42.0,,,25.0,,,,,,17.0,,,,,29.0,23.0,31.0,,34,
,,,21,19.0,64.0,42,30,31.0,27.0,21.0,89.0,,,,60.0,,,,,,,,,35,,45,51.0,18.0,,,31.0,,,,,42.0,,,,38,,,,,25.0,,,24.0,,,,,,37.0,,,,,19.0,87.0,86.0,,18,
,,,30,26.0,33.0,32,37,36.0,29.0,30.0,23.0,,,,25.0,,,,,,,,,49,,62,28.0,16.0,,,52.0,,,,,24.0,,,,21,,,,,31.0,,,40.0,,,,,,32.0,,,,,24.0,148.0,30.0,,20,
,,,23,18.0,60.0,27,38,60.0,24.0,23.0,30.0,,,,26.0,,,,,,,,,23,,29,41.0,15.0,,,26.0,,,,,62.0,,,,27,,,,,39.0,,,34.0,,,,,,55.0,,,,,22.0,21.0,28.0,,25,
,,,16,44.0,53.0,42,52,22.0,42.0,26.0,21.0,,,,31.0,,,,,,,,,18,,18,20.0,65.0,,,137.0,,,,,50.0,,,,18,,,,,77.0,,,85.0,,,,,,30.0,,,,,73.0,19.0,21.0,,39,
,,,16,100.0,40.0,23,23,142.0,24.0,25.0,30.0,,,,24.0,,,,,,,,,30,,20,29.0,17.0,,,56.0,,,,,41.0,,,,25,,,,,23.0,,,42.0,,,,,,37.0,,,,,43.0,101.0,23.0,,34,
,,,21,17.0,33.0,22,34,37.0,22.0,40.0,38.0,,,,20.0,,,,,,,,,25,,22,23.0,14.0,,,28.0,,,,,67.0,,,,23,,,,,30.0,,,22.0,,,,,,38.0,,,,,51.0,24.0,46.0,,26,
,,,14,40.0,51.0,31,17,139.0,49.0,24.0,36.0,,,,28.0,,,,,,,,,60,,44,181.0,13.0,,,40.0,,,,,44.0,,,,21,,,,,27.0,,,53.0,,,,,,36.0,,,,,18.0,20.0,24.0,,20,
,,,42,26.0,49.0,62,22,21.0,32.0,16.0,20.0,,,,40.0,,,,,,,,,26,,68,38.0,29.0,,,21.0,,,,,31.0,,,,19,,,,,18.0,,,23.0,,,,,,26.0,,,,,19.0,20.0,18.0,,36,
,,,28,19.0,45.0,18,58,15.0,32.0,22.0,30.0,,,,27.0,,,,,,,,,32,,63,16.0,39.0,,,55.0,,,,,69.0,,,,24,,,,,17.0,,,49.0,,,,,,37.0,,,,,37.0,27.0,75.0,,21,
,,,22,23.0,34.0,30,43,84.0,54.0,16.0,27.0,,,,85.0,,,,,,,,,41,,47,36.0,,,,26.0,,,,,21.0,,,,44,,,,,38.0,,,29.0,,,,,,42.0,,,,,27.0,23.0,30.0,,26,
,,,42,43.0,54.0,28,31,18.0,92.0,22.0,53.0,,,,62.0,,,,,,,,,54,,19,17.0,,,,51.0,,,,,21.0,,,,31,,,,,162.0,,,28.0,,,,,,35.0,,,,,19.0,22.0,58.0,,76,
,,,32,105.0,118.0,32,53,13.0,79.0,31.0,24.0,,,,287.0,,,,,,,,,54,,25,14.0,,,,22.0,,,,,59.0,,,,17,,,,,38.0,,,31.0,,,,,,50.0,,,,,24.0,66.0,46.0,,21,
,,,23,22.0,37.0,46,29,14.0,19.0,31.0,31.0,,,,29.0,,,,,,,,,37,,25,43.0,,,,24.0,,,,,25.0,,,,20,,,,,33.0,,,16.0,,,,,,23.0,,,,,25.0,112.0,24.0,,26,
,,,32,22.0,40.0,46,72,11.0,22.0,50.0,72.0,,,,,,,,,,,,,26,,46,18.0,,,,19.0,,,,,23.0,,,,19,,,,,46.0,,,78.0,,,,,,26.0,,,,,25.0,353.0,24.0,,55,
,,,19,15.0,42.0,30,42,20.0,25.0,27.0,23.0,,,,,,,,,,,,,27,,39,50.0,,,,31.0,,,,,36.0,,,,17,,,,,29.0,,,15.0,,,,,,75.0,,,,,24.0,37.0,27.0,,37,
,,,23,61.0,20.0,25,60,51.0,49.0,19.0,37.0,,,,,,,,,,,,,35,,53,19.0,,,,34.0,,,,,76.0,,,,25,,,,,32.0,,,21.0,,,,,,35.0,,,,,32.0,21.0,21.0,,23,
,,,26,32.0,19.0,50,35,18.0,35.0,48.0,23.0,,,,,,,,,,,,,36,,28,22.0,,,,73.0,,,,,32.0,,,,31,,,,,23.0,,,17.0,,,,,,23.0,,,,,35.0,61.0,81.0,,37,
,,,22,23.0,21.0,26,29,21.0,25.0,19.0,70.0,,,,,,,,,,,,,42,,21,48.0,,,,30.0,,,,,36.0,,,,28,,,,,155.0,,,24.0,,,,,,28.0,,,,,99.0,27.0,16.0,,27,
,,,26,31.0,22.0,30,33,28.0,27.0,24.0,27.0,,,,,,,,,,,,,26,,45,16.0,,,,18.0,,,,,44.0,,,,33,,,,,119.0,,,71.0,,,,,,31.0,,,,,35.0,21.0,83.0,,23,
,,,20,68.0,17.0,33,27,18.0,25.0,14.0,31.0,,,,,,,,,,,,,30,,46,18.0,,,,29.0,,,,,51.0,,,,78,,,,,26.0,,,31.0,,,,,,32.0,,,,,35.0,18.0,32.0,,71,
,,,25,143.0,80.0,19,32,16.0,21.0,24.0,21.0,,,,,,,,,,,,,32,,33,31.0,,,,21.0,,,,,24.0,,,,24,,,,,42.0,,,17.0,,,,,,41.0,,,,,22.0,26.0,14.0,,23,
,,,55,52.0,21.0,33,31,,21.0,28.0,25.0,,,,,,,,,,,,,21,,28,22.0,,,,29.0,,,,,39.0,,,,35,,,,,32.0,,,18.0,,,,,,25.0,,,,,51.0,28.0,17.0,,99,
